id,task,audio_dependency,duration,n_gt,n_emits,tp_time,tp_content,fp,fn,time_f1,joint_f1,verdict
instant_event_alert::PHZXpINfz2o::178,instant_event_alert,required,179.533333,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::VeD--7mvGo0::179,instant_event_alert,required,406.614542,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::RIn_k3Wpf9A::180,instant_event_alert,required,284.951333,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::Fvj9I7MGPhc::181,instant_event_alert,required,108.541767,2,1,1,1,0,1,0.667,0.667,GOOD
instant_event_alert::4QLU8CNu6GQ::182,instant_event_alert,required,470.333333,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::Lno78zPUEXs::183,instant_event_alert,none,60.96,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::L7N88hQ1ccY::184,instant_event_alert,helpful,198.166667,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::-p1bAo2wbNA::185,instant_event_alert,required,54.866667,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::D54dYP-rlrs::186,instant_event_alert,required,261.566667,6,5,5,5,0,1,0.909,0.909,GOOD
instant_event_alert::KGjAytMacAA::187,instant_event_alert,required,203.203,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::0J0Tjqc4efY::188,instant_event_alert,required,226.29296,2,1,0,0,1,2,0.0,0.0,WRONG_TIME
instant_event_alert::Pwb86RDw_3Q::189,instant_event_alert,required,126.292833,1,3,1,1,2,0,0.5,0.5,GOOD
instant_event_alert::6j2Y6V3U-Lc::190,instant_event_alert,required,363.28,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::CHpFQ4smFz0::191,instant_event_alert,required,236.267266,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::9aXdpDp9tgI::192,instant_event_alert,required,124.291667,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::25A6GhbcnKs::193,instant_event_alert,none,227.366667,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::A0l8fhxoWpY::194,instant_event_alert,required,142.3422,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::-eoe6CBR1wE::195,instant_event_alert,required,433.24,2,2,1,1,1,1,0.5,0.5,GOOD
instant_event_alert::2lbUSmQNFls::196,instant_event_alert,required,72.107739,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::JcWwCRmskQU::197,instant_event_alert,required,88.054633,3,3,3,3,0,0,1.0,1.0,GOOD
instant_event_alert::7GkZ7PLMaZk::198,instant_event_alert,required,55.933333,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::Kh9MP3gY2nM::199,instant_event_alert,helpful,298.344828,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::3Z3YUJHg8GE::200,instant_event_alert,required,240.974308,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::3PSDRMdp2Yc::201,instant_event_alert,required,325.591933,2,3,2,2,1,0,0.8,0.8,GOOD
instant_event_alert::J34pE6PKZPY::202,instant_event_alert,required,567.934033,2,3,1,1,2,1,0.4,0.4,GOOD
instant_event_alert::5WTOiYp-uPM::203,instant_event_alert,required,338.129458,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::SIm5SqQfTq8::204,instant_event_alert,helpful,141.766667,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::QU3YMrU5Drs::205,instant_event_alert,required,95.68,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::TTnnYgoi2FA::206,instant_event_alert,required,315.433333,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::ShUQ8qYQshY::207,instant_event_alert,required,178.0,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::7o6KXLbuG68::208,instant_event_alert,required,105.438667,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::CO_BD_Xuf-U::209,instant_event_alert,required,445.76,1,10,1,1,9,0,0.182,0.182,GOOD
instant_event_alert::RmjSfjgqgF8::210,instant_event_alert,required,111.978533,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::NEHO4oJ2NCc::211,instant_event_alert,required,213.680347,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::I6xo-Pe3Ypg::212,instant_event_alert,required,409.1087,2,2,2,2,0,0,1.0,1.0,GOOD
instant_event_alert::KFpK0Z8FVyI::213,instant_event_alert,none,280.833333,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::IigutYLNdfU::214,instant_event_alert,required,131.965167,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::3P3dgKrMtc0::215,instant_event_alert,required,178.666667,2,4,2,2,2,0,0.667,0.667,GOOD
instant_event_alert::WmDrqru_twQ::216,instant_event_alert,required,30.196833,1,1,1,1,0,0,1.0,1.0,GOOD
